,Neighborhood,NeighborhoodLatitude,NeighborhoodLongitude,Venue_Count,Venue,VenueLatitude,VenueLongitude,VenueCategory
606,Kesbewa East,6.79236737084574,79.93989927964581,4,Nithila Inn,6.7937617,79.94095,Restaurant
607,Kesbewa East,6.79236737084574,79.93989927964581,4,Sugar Art Cake Shop,6.790396651452691,79.94004017064647,Bakery
608,Kesbewa East,6.79236737084574,79.93989927964581,4,Shehanz Food Center,6.7907557,79.94113,Fast Food Restaurant
609,Kesbewa East,6.79236737084574,79.93989927964581,4,රෑ කඩේ,6.795890520287526,79.94031885557267,Café
610,Honnanthara South,6.793458277126107,79.95055541411034,3,Ginirachcha,6.791697,79.950806,Sri Lankan Restaurant
611,Honnanthara South,6.793458277126107,79.95055541411034,3,Dikwella Food Center,6.792066,79.9497,Sri Lankan Restaurant
612,Honnanthara South,6.793458277126107,79.95055541411034,3,take away,6.79191255569458,79.9498291015625,Asian Restaurant
613,Suwarapola East,6.797068707047682,79.91708646469401,1,Taco Bell,6.7980395948500485,79.91306910910792,Taco Place
614,Kesbewa North,6.794752937714155,79.93411534627487,4,Greenland Food Center,6.79663425,79.93156534,Fast Food Restaurant
615,Kesbewa North,6.794752937714155,79.93411534627487,4,Hansika Morawaka Hotel,6.797499045297016,79.93216012360317,Asian Restaurant
616,Kesbewa North,6.794752937714155,79.93411534627487,4,KBH Headquaters,6.798321025597749,79.93612755914047,Bakery
617,Kesbewa North,6.794752937714155,79.93411534627487,4,KBH Bake House,6.797473323738196,79.93068024785478,Bakery
618,Kolamunna,6.794504971450013,79.92217664513801,2,Kamatha,6.793203830718994,79.92302703857422,Restaurant
619,Kolamunna,6.794504971450013,79.92217664513801,2,Green Garden,6.794602,79.925744,Comfort Food Restaurant
620,Mavittara South,6.799690214404777,79.94232001477013,2,Seven Eleven Restaurant - Kesbawa,6.7974854,79.94104,Restaurant
621,Mavittara South,6.799690214404777,79.94232001477013,2,රෑ කඩේ,6.795890520287526,79.94031885557267,Café
622,Lakshapathiya North,6.798651695152714,79.88207270854451,4,Shangai Restuarent,6.798775101688908,79.88135452589884,Chinese Restaurant
623,Lakshapathiya North,6.798651695152714,79.88207270854451,4,Shanghai Hotel,6.800471020511042,79.88156231251784,Chinese Restaurant
624,Lakshapathiya North,6.798651695152714,79.88207270854451,4,Chinese lotus,6.800475128105263,79.87979064244445,Chinese Restaurant
625,Lakshapathiya North,6.798651695152714,79.88207270854451,4,Rashmitha Bakers,6.801832799220859,79.88251375024264,Bakery
626,Mampe West,6.801199665821634,79.9294469256362,5,Red Balloon,6.801969646577296,79.93137233638802,Chinese Restaurant
627,Mampe West,6.801199665821634,79.9294469256362,5,"Spisia ""Taste of Asia""",6.7996921947992925,79.9333524347654,Asian Restaurant
628,Mampe West,6.801199665821634,79.9294469256362,5,Perera and Sons,6.7981875265701595,79.92929024813468,Bakery
629,Mampe West,6.801199665821634,79.9294469256362,5,Jubilee Food Center,6.798656365043768,79.92653108425698,Fast Food Restaurant
630,Mampe West,6.801199665821634,79.9294469256362,5,KBH Bake House,6.797473323738196,79.93068024785478,Bakery
631,Katubedda,6.799212554776936,79.89597219732306,3,Ame Rase,6.800911903381348,79.89772033691406,Sri Lankan Restaurant
632,Katubedda,6.799212554776936,79.89597219732306,3,Kamra Food Cabin,6.796868801116943,79.89398956298828,Diner
633,Katubedda,6.799212554776936,79.89597219732306,3,Monika Akka's Boutique,6.801271881370998,79.89980936050414,Asian Restaurant
634,Thumbovila West,6.8026070430556995,79.91703569169168,4,Ruwan Bakery,6.803409398355692,79.91580758335172,Bakery
635,Thumbovila West,6.8026070430556995,79.91703569169168,4,Little Lion,6.802722566986874,79.91586770857337,Bakery
636,Thumbovila West,6.8026070430556995,79.91703569169168,4,Venus Palace,6.800965,79.920594,Asian Restaurant
637,Thumbovila West,6.8026070430556995,79.91703569169168,4,Susiko bakers,6.798836,79.9152,Bakery
